row.ID,row.m.z,row.retention.time,X20240730_Ext_E31_24h_ddms30.mzML.Peak.area,X20240730_Ext_E31_MGO_24h_ddms30.mzML.Peak.area,Peakgroup_id,NonMGO.peak.area,MGO.peak.area,Peak_Area_Change,Label
4078,287.2215019,9.841373,113192.05,0,152,170587.597,0,170587.597,S
4944,287.2216576,12.854902,57395.547,0,152,170587.597,0,170587.597,S
122,287.8889042,0.0773453,212933.92,0,153,212933.92,0,212933.92,S
3383,288.1808823,7.130201,22656.832,0,154,22656.832,0,22656.832,S
4270,288.2894784,10.411449,26251.428,23124.86,155,26251.428,23124.86,3126.5679999999993,S
3460,289.0907463,7.5573387,43511.97,0,156,43511.97,0,43511.97,S
753,289.1392066,1.4696543,510747.94,171929.4,157,510747.94,171929.4,338818.54000000004,S
3933,289.2373217,9.42738,197660.7,17312.89,158,197660.7,17312.89,180347.81,S
1165,290.1347327,2.0814695,0,84151.94,159,0,84151.94,84151.94,P
2135,291.0063725,3.3674252,55911.445,22250.896,160,55911.445,22250.896,33660.549,S
5819,291.1951908,17.213406,0,34485.656,161,458188.70300000004,65976.228,392212.47500000003,S
4114,291.1953096,9.973108,29814.613,0,161,458188.70300000004,65976.228,392212.47500000003,S
4208,291.1953174,10.225754,38749.81,0,161,458188.70300000004,65976.228,392212.47500000003,S
4251,291.1953437,10.34885,389624.28,31490.572,161,458188.70300000004,65976.228,392212.47500000003,S
5414,291.2317011,15.378035,0,39385.207,162,177563.64,79508.307,98055.33300000001,S
5403,291.2317298,15.258751,177563.64,40123.1,162,177563.64,79508.307,98055.33300000001,S
412,291.9067218,0.896644,0,728650.1,163,0,728650.1,728650.1,P
5906,292.1766695,17.306778,453240.66,0,164,453240.66,0,453240.66,S
4578,293.2107692,11.139914,152954.42,16152.991,165,843250.87,69235.515,774015.355,S
4132,293.2108928,10.014315,83019.42,9129.91,165,843250.87,69235.515,774015.355,S
5135,293.2109608,13.754726,97583.28,7566.418,165,843250.87,69235.515,774015.355,S
3636,293.2110427,8.4656110000000009,110415.6,12987.665,165,843250.87,69235.515,774015.355,S
5114,293.211049,13.629126,81916.16,9686.661,165,843250.87,69235.515,774015.355,S
3829,293.2110862,9.114239,115407.55,10392.841,165,843250.87,69235.515,774015.355,S
5087,293.2111297,13.497277,149330.69,0,165,843250.87,69235.515,774015.355,S
5055,293.2111541,13.325619,52623.75,3319.029,165,843250.87,69235.515,774015.355,S
5562,293.2473017,16.06659,193122.81,25451.916,166,193122.81,25451.916,167670.894,S
